date,Close
01/12/2014,370
02/12/2014,378
03/12/2014,378
04/12/2014,377.1
05/12/2014,
06/12/2014,378
07/12/2014,
08/12/2014,375
09/12/2014,
10/12/2014,360.5
11/12/2014,
12/12/2014,350
13/12/2014,
14/12/2014,
15/12/2014,
16/12/2014,
17/12/2014,
18/12/2014,340
19/12/2014,
20/12/2014,
21/12/2014,
22/12/2014,
23/12/2014,
24/12/2014,
25/12/2014,
26/12/2014,
27/12/2014,
28/12/2014,
29/12/2014,
30/12/2014,
31/12/2014,
01/01/2015,
02/01/2015,
03/01/2015,
04/01/2015,
05/01/2015,
06/01/2015,
07/01/2015,
08/01/2015,288.99
09/01/2015,
10/01/2015,
11/01/2015,
12/01/2015,
13/01/2015,260
14/01/2015,120
15/01/2015,204.22
16/01/2015,199.46
17/01/2015,184
18/01/2015,
19/01/2015,225.51
20/01/2015,218
21/01/2015,225.51
22/01/2015,226.32
23/01/2015,235
24/01/2015,240
25/01/2015,254.53
26/01/2015,274.48
27/01/2015,263.65
28/01/2015,236.09
29/01/2015,235.03
30/01/2015,229.07
31/01/2015,218.45
01/02/2015,228.99
02/02/2015,237.83
03/02/2015,228.58
04/02/2015,227.11
05/02/2015,216.76
06/02/2015,223.2
07/02/2015,229
08/02/2015,223.99
09/02/2015,221.1
10/02/2015,220.87
11/02/2015,219.81
12/02/2015,223.21
13/02/2015,236.49
14/02/2015,256.66
15/02/2015,235.54
16/02/2015,234.68
17/02/2015,244.82
18/02/2015,237.49
19/02/2015,240.9
20/02/2015,245.34
21/02/2015,245.99
22/02/2015,236.83
23/02/2015,239.49
24/02/2015,239.87
25/02/2015,238.19
26/02/2015,237.11
27/02/2015,254.42
28/02/2015,255.59
01/03/2015,260.24
02/03/2015,276.7
03/03/2015,283.27
04/03/2015,273.37
05/03/2015,276.86
06/03/2015,273.23
07/03/2015,276.89
08/03/2015,275.5
09/03/2015,290.19
10/03/2015,293.47
11/03/2015,296.99
12/03/2015,296.05
13/03/2015,284
14/03/2015,283.95
15/03/2015,288
16/03/2015,292.37
17/03/2015,286.74
18/03/2015,258.5
19/03/2015,263.05
20/03/2015,263.31
21/03/2015,261.9
22/03/2015,269.45
23/03/2015,267.53
24/03/2015,246.15
25/03/2015,246.88
26/03/2015,249.88
27/03/2015,247.81
28/03/2015,253.52
29/03/2015,243.69
30/03/2015,248.78
31/03/2015,245.5
01/04/2015,247.87
02/04/2015,254.39
03/04/2015,254.84
04/04/2015,254.36
05/04/2015,261.47
06/04/2015,256.85
07/04/2015,254.27
08/04/2015,246.58
09/04/2015,244.74
10/04/2015,236.78
11/04/2015,237.91
12/04/2015,237.55
13/04/2015,225.73
14/04/2015,221.05
15/04/2015,224.35
16/04/2015,229.45
17/04/2015,223.62
18/04/2015,224.02
19/04/2015,224.03
20/04/2015,225.37
21/04/2015,235.89
22/04/2015,233.98
23/04/2015,235.99
24/04/2015,231.51
25/04/2015,227.05
26/04/2015,221.27
27/04/2015,227.58
28/04/2015,225.64
29/04/2015,225.6
30/04/2015,236.81
01/05/2015,233.14
02/05/2015,235.94
03/05/2015,240.78
04/05/2015,239.75
05/05/2015,236.76
06/05/2015,230
07/05/2015,237.99
08/05/2015,244.54
09/05/2015,242.5
10/05/2015,241.57
11/05/2015,242.86
12/05/2015,242.03
13/05/2015,236.32
14/05/2015,237.46
15/05/2015,237.82
16/05/2015,236.73
17/05/2015,237.12
18/05/2015,234.04
19/05/2015,232.59
20/05/2015,234.54
21/05/2015,235.77
22/05/2015,240.45
23/05/2015,239.36
24/05/2015,240.82
25/05/2015,237.43
26/05/2015,236.79
27/05/2015,237.35
28/05/2015,237.34
